tx_id,nric,transaction,charity,message,hashed

TX 000,S0000035Z,270227,02996473B,how is this,cc3224b619f6899eb75866078b4ef4632b22f070c4ab88d6f245cb76f6302b91
TX 001,S0000038Z,501155,02879120K,,5228a142336bffe8c0ba4af43d555afe33cc6737f7355708cdded89b22a133ef
TX 002,S0000019Z,485260,255921113D,,4534f4715e0df59f23cb6099f7577b56e52ddd196f6bef2ba8d3811cdddfb394
TX 003,S0000015Z,744707,57082555E,another one,3213e6d86b1b8c4cebe4ee7b755109fe543eb958975b0571898369bf0450b811
TX 004,S0000030Z,310065,02996473B,how is this,fc3b306671c1f0d6db88b810a645f2ef85113e12b160cba95bdd6813206499f7
TX 005,S0000036Z,339815,46281055E,,f5eaac99292fd252f820946f2390623c3a39b69e693bf7ca27ac1da3c82f85bd
TX 006,S0000049Z,340967,01897655M,another one,04b110853aa1ea2cf3f9b9387b01f662f971581877f44e9938f135cc42574bee
TX 007,S0000040Z,138963,02879120K,,99d2fc872acbb528884b7e3516d9a2c66b8e44cb1611778c328906ee6673db99
TX 008,S0000008Z,812983,03131641J,how is this,3f01f06248fdcc650aa06bb4cb24e58c043095a226ebc16c6fee96430ececcab
TX 009,S0000003Z,582936,33071755D,,e13ec1b3a40c572a9b17dc57336be339fd64eb0ba0892e6aa9efed528909b934
TX 010,S0000039Z,811707,255921113D,,0c07abb9eb82998356b83f1975b91272e22b56a9f5a30a782e28a89900c7dea7
TX 011,S0000024Z,155515,255355835D,another one,3a1edbb4c29bdf40d6358d8f6cbdb027c5662ce97747fc38f9d631b4e0404924
TX 012,S0000012Z,355507,255813204K,another one,26a1fbf8c6f84dcb994a6e5863fe8fba530c7c6e4c7d16ce4054f465d506e95a
TX 013,S0000012Z,131272,32396555J,how is this,cacce2b1bf344b2bda37ba740226e8678e2c397c838f662645260ce66d308360
TX 014,S0000025Z,730061,255711625K,how is this,0efd53b84da9455d5458c3a90626a79c502a05b95afa3c7e3df420310b180238
TX 015,S0000000Z,626915,251317802H,how is this,acbb2f12ea4f60d30ef56f09151634398ece6c31e27ed2268140e9ab90f6a6e5
TX 016,S0000012Z,297487,57807155J,how is this,3a7f4da919f09d641f9359ee88471486a6c811c380169e51923a06ba777c901e
TX 017,S0000023Z,376440,03191778M,how is this,e21ccb454ad9d26dca89aaeb3d220f9db7b6fe8352ed824ba497b3ec24d7ebed
TX 018,S0000023Z,756659,251155458M,another one,d990e50de0ec1132002ff9651284615369c1790312141c9b25b78269eb1315c5
TX 019,S0000006Z,446630,46281055E,another one,1c81b2944618b743045aa2fc5fd1810d1b824fef8bf4cb4335630b762711b21e
TX 020,S0000031Z,94563,251157723C,,5e0849ebffdbc947fae9391b0989a15fef9a9e8590d891202bef4726dac22544
